,Date limite du jeu de variables,30/07/2020,14/08/2020,29/08/2020,13/09/2020,14/10/2020,29/11/2020
qEI ,% exposé vers infectieux,29,32,34,42,42,40
dI ,Durée de contagiosité jours (ce n’est pas un changement d’état),3,3,3,3,3,3
dEI ,Délai Exposé vers Infectieux jours,5,5,5,5,5,5
dEP ,Délai Exposé vers Positifs au test jours,7,7,7,7,7,7
dIP ,Délai Infectioeux vers Positif au test jours,2,2,2,2,2,2
ceA,Correctif écart asymptomatiques,0.3,0.3,0.3,0.3,0.3,0.4
dPH ,Délai entrée hôpital,2,2,2,2,2,2
qPH ,% Positif vers hôpital,43,25,18,11,12,15.5
qOB ,% sOins vers réhospitalisation Boucle,45,45,45,45,60,30
dHC ,délai Hôpital vers réanimation (Critique) jours,3,4,5,5,5,5
qHC ,% Hôpital vers réanimation,17,18,15,26,26.5,15.5
dHO ,délai Hôpital vers sOins,7,7,5,5,5,5
qHO ,% Hôpital vers sOins,10,8,7,7,7,7
dHR ,Délai Hôpital vers retour à domicile,50,50,50,40,10,10
dCD ,Délai réanimation vers Décès jours,10,10,10,10,10,10
qCD ,% réanimation vers Décès,18,18,18,19,22,27
dCO ,Délai réanimation vers sOins jours,20,18,18,17,15,15
dOR ,Délai sOins vers Retour à domicile jours,60,60,50,40,10,5
dOB ,Délai sOins vers réhospitalisation Boucle,12,10,8,8,5,3
dBF ,Délai réhospitalisation Boucle vers Fausse sortie,15,15,15,15,15,15
qBD ,% réhospitalisation Boucle vers Décès,2,5,5,5,5,5
dBD ,délai réhospitalisation Boucle vers Décès,15,15,15,15,15,15
qMV ,% nouvelles guérisons seuls (M) vers nouveaux tests positifs en EHPAD et EMS,25,15,5,5,5,8
dMV ,délai contamination vers positifs EHPAD et EMS jours,7,7,7,7,7,7
qHD ,% Hôpital vers Décès sans passage réanimation,20,20,10,9,9,12
dHD ,délai Hôpital vers Décès sans passage réanimation,6,6,6,6,6,6
qVD ,% Positifs vers Décès en EHPAD et EMS,7,5,4,4,4,5
dVD ,délai Positifs vers Décès en EHPAD et EMS,-4,-4,-4,-4,-4,-4
dBR ,délai réhospitalisation Boucle vers retour à domicile jours,68,72,72,80,90,44
qBR ,% sortie réhospitalisation Boucle vers retour à domicile,63,30,20,10,5,5
