,Date limite du jeu de variables,31/03/2020,15/04/2020,30/04/2020,15/05/2020,15/06/2020,31/07/2020
qEI ,% exposé vers infectieux,100,100,98,92,56,25
dI ,Durée de contagiosité jours (ce n’est pas un changement d’état),3,3,3,3,3,3
dEI ,Délai Exposé vers Infectieux jours,5,5,5,5,5,5
dEP ,Délai Exposé vers Positifs au test jours,7,7,7,7,7,7
dIP ,Délai Infectioeux vers Positif au test jours,2,2,2,2,2,2
ceA,Correctif écart asymptomatiques,0,0,0,0,0,0
dPH ,Délai entrée hôpital,5,1,2,2,2,2
qPH ,% Positif vers hôpital,132,65,59,57,55,60
qOB ,% sOins vers réhospitalisation Boucle,70,70,45,48,20,40
dHC ,délai Hôpital vers réanimation (Critique) jours,1,0,1,3,3,3
qHC ,% Hôpital vers réanimation,23,19,12,15,15,15
dHO ,délai Hôpital vers sOins,7,7,7,7,7,7
qHO ,% Hôpital vers sOins,20,20,20,20,20,20
dHR ,Délai Hôpital vers retour à domicile,3,8,12,21,32,44
dCD ,Délai réanimation vers Décès jours,3,3,5,6,10,10
qCD ,% réanimation vers Décès,23,32,27,24,23,22
dCO ,Délai réanimation vers sOins jours,15,17,18,26,28,34
dOR ,Délai sOins vers Retour à domicile jours,17,18,18,22,27,44
dOB ,Délai sOins vers réhospitalisation Boucle,7,7,10,12,12,12
dBF ,Délai réhospitalisation Boucle vers Fausse sortie,-10,-20,-5,3,14,15
qBD ,% réhospitalisation Boucle vers Décès,40,20,10,5,2,2
dBD ,délai réhospitalisation Boucle vers Décès,10,10,10,14,15,15
qMV ,% nouvelles guérisons seuls (M) vers nouveaux tests positifs en EHPAD et EMS,88,88,94,80,65,35
dMV ,délai contamination vers positifs EHPAD et EMS jours,9,9,9,11,9,7
qHD ,% Hôpital vers Décès sans passage réanimation,18,13,20,20,20,21
dHD ,délai Hôpital vers Décès sans passage réanimation,7,7,6,6,6,6
qVD ,% Positifs vers Décès en EHPAD et EMS,28,28,28,23,20,20
dVD ,délai Positifs vers Décès en EHPAD et EMS,-4,-4,-4,-4,-4,-4
dBR ,délai réhospitalisation Boucle vers retour à domicile jours,5,5,5,6,13,44
qBR ,% sortie réhospitalisation Boucle vers retour à domicile,60,65,60,63,63,63
