,Date limite du jeu de variables,30/01/2021,14/02/2021,01/03/2021,16/03/2021,16/04/2021,31/05/2021
qEI ,% exposé vers infectieux,36,38,38,38,38,38
dI ,Durée de contagiosité jours (ce n’est pas un changement d’état),3,3,3,3,3,3
dEI ,Délai Exposé vers Infectieux jours,5,5,5,5,5,5
dEP ,Délai Exposé vers Positifs au test jours,7,7,7,7,7,7
dIP ,Délai Infectioeux vers Positif au test jours,2,2,2,2,2,2
ceA,Correctif écart asymptomatiques,0.25,0.25,0.25,0.25,0.25,0.25
dPH ,Délai entrée hôpital,3,3,3,3,3,3
qPH ,% Positif vers hôpital,22,21,19,18,15,15
qOB ,% sOins vers réhospitalisation Boucle,35,35,30,28,35,35
dHC ,délai Hôpital vers réanimation (Critique) jours,5,4,4,3,3,3
qHC ,% Hôpital vers réanimation,17,17,21,23,24.5,24
dHO ,délai Hôpital vers sOins,7,7,7,6,4,4
qHO ,% Hôpital vers sOins,12,13,14,15,14,11
dHR ,Délai Hôpital vers retour à domicile,20,18,17,18,16,14
dCD ,Délai réanimation vers Décès jours,10,10,10,10,10,10
qCD ,% réanimation vers Décès,35,33,31,31,24,22
dCO ,Délai réanimation vers sOins jours,23,20,19,19,18,16
dOR ,Délai sOins vers Retour à domicile jours,24,29,24,23,23,16
dOB ,Délai sOins vers réhospitalisation Boucle,4,5,5,5,5,5
dBF ,Délai réhospitalisation Boucle vers Fausse sortie,25,25,25,25,25,25
qBD ,% réhospitalisation Boucle vers Décès,0,0,0,0,0,0
dBD ,délai réhospitalisation Boucle vers Décès,15,15,15,15,15,15
qMV ,% nouvelles guérisons seuls (M) vers nouveaux tests positifs en EHPAD et EMS,24,18,12,6,3,2
dMV ,délai contamination vers positifs EHPAD et EMS jours,7,7,7,7,7,7
qHD ,% Hôpital vers Décès sans passage réanimation,20,19,18,16,15,11
dHD ,délai Hôpital vers Décès sans passage réanimation,6,6,6,6,6,6
qVD ,% Positifs vers Décès en EHPAD et EMS,11,13,13,13,13,13
dVD ,délai Positifs vers Décès en EHPAD et EMS,-4,-4,-4,-4,-4,-4
dBR ,délai réhospitalisation Boucle vers retour à domicile jours,30,20,20,20,21,24
qBR ,% sortie réhospitalisation Boucle vers retour à domicile,50,63,63,63,63,63
